ligand,vina_affinity,cnn_pose_score
AA,-8.46,0.916
AB,-9.79,0.9587
AC,-8.72,0.8271
AD,-8.59,0.8302
AE,-7.74,0.696
AF,-7.78,0.8183
AG,-8.3,0.353
AH,-10.06,0.9133
AI,-9.2,0.8111
AJ,-7.33,0.5104
AK,-4.95,0.2331
AL,-7.22,0.4366
AM,-7.43,0.822
AN,-7.98,0.9284
AO,-7.34,0.4096
AP,-8.8,0.9528
AQ,-8.38,0.4596
AR,-9.5,0.9708
AS,-8.32,0.4731
AT,-8.99,0.9846
AU,-5.71,0.5168
AV,-7.87,0.6513
AW,-8.31,0.9446
AX,-8.02,0.5317
AY,-7.67,0.757
AZ,-9.73,0.6484
A,-10.6,0.9732
BA,-5.58,0.2331
BB,-10.02,0.8435
BC,-5.49,0.7273
BD,-7.04,0.1214
BE,-9.82,0.9713
BF,-6.14,0.5954
BG,-6.46,0.2686
BH,-10.09,0.9919
BI,-3.4,0.4308
B,-10.64,0.9465
C,-10.79,0.9365
D,-8.5,0.9214
E,-10.32,0.9146
F,-9.71,0.6403
G,-7.72,0.177
H,-9.86,0.9598
I,-5.91,0.2897
J,-8.75,0.3381
K,-11.16,0.9903
L,-7.07,0.2878
M,-5.14,0.1735
N,-4.34,0.347
O,-7.02,0.2585
P,-3.88,0.5588
Q,-5.31,0.3883
R,-5.75,0.1457
S,-8.55,0.233
T,-6.26,0.1729
U,-4.17,0.5545
V,-3.78,0.6011
W,-10.67,0.9711
X,-10.15,0.8302
Y,-8.44,0.8846
Z,-7.9,0.4468
